driverId,truckId,eventTime,eventType,longitude,latitude,routeName,eventDate
14,25,59:21.4,Normal,-94.58,37.03,Joplin to Kansas City Route 2,2016-05-27-22
18,16,59:21.7,Normal,-89.66,39.78,Springfield to KC Via Hanibal,2016-05-27-22
27,105,59:21.7,Normal,-90.21,38.65,Springfield to KC Via Columbia Route 2,2016-05-27-22
11,74,59:21.7,Normal,-90.2,38.65,Saint Louis to Memphis Route2,2016-05-27-22
22,87,59:21.7,Normal,-90.04,35.19, Saint Louis to Chicago Route2,2016-05-27-22
22,87,59:22.3,Normal,-90.37,35.21, Saint Louis to Chicago Route2,2016-05-27-22
23,68,59:22.4,Normal,-89.91,40.86,Joplin to Kansas City Route 2,2016-05-27-22
11,74,59:22.5,Normal,-89.74,39.1,Saint Louis to Memphis Route2,2016-05-27-22
20,41,59:22.5,Normal,-93.36,41.69,Des Moines to Chicago Route 2,2016-05-27-22
32,42,59:22.5,Normal,-90.37,35.21,Peoria to Ceder Rapids Route 2,2016-05-27-22
27,105,59:22.6,Normal,-90.41,38.75,Springfield to KC Via Columbia Route 2,2016-05-27-22
17,15,59:23.2,Normal,-90.55,38.81,Springfield to KC Via Columbia,2016-05-27-22
14,25,59:23.3,Normal,-94.31,37.31,Joplin to Kansas City Route 2,2016-05-27-22
28,39,59:23.3,Normal,-89.96,39.74,Springfield to KC Via Hanibal Route 2,2016-05-27-22
15,51,59:23.4,Normal,-90.68,35.12,Joplin to Kansas City,2016-05-27-22
16,12,59:23.4,Normal,-90.29,40.96,Saint Louis to Memphis,2016-05-27-22
31,18,59:23.5,Normal,-94.31,37.31,Memphis to Little Rock Route 2,2016-05-27-22
25,96,59:23.5,Normal,-90.24,38.0,Memphis to Little Rock,2016-05-27-22
14,25,59:24.2,Normal,-94.3,37.66,Joplin to Kansas City Route 2,2016-05-27-22
22,87,59:24.2,Normal,-90.94,35.03, Saint Louis to Chicago Route2,2016-05-27-22
32,42,59:24.2,Normal,-90.94,35.03,Peoria to Ceder Rapids Route 2,2016-05-27-22
24,97,59:24.3,Normal,-89.17,40.38,Peoria to Ceder Rapids Route 2,2016-05-27-22
25,96,59:24.3,Normal,-90.0,37.72,Memphis to Little Rock,2016-05-27-22
29,66,59:24.7,Normal,-97.37,36.91,Wichita to Little Rock Route 2,2016-05-27-22
22,87,59:25.0,Normal,-91.14,34.96, Saint Louis to Chicago Route2,2016-05-27-22
18,16,59:25.0,Normal,-90.24,39.72,Springfield to KC Via Hanibal,2016-05-27-22
19,26,59:25.1,Normal,-97.37,36.91,Wichita to Little Rock.kml,2016-05-27-22
26,57,59:25.2,Normal,-90.86,38.46,Saint Louis to Tulsa Route2,2016-05-27-22
16,12,59:25.3,Normal,-90.7,41.62,Saint Louis to Memphis,2016-05-27-22
21,109,59:25.7,Normal,-94.35,38.33,Memphis to Little Rock Route 2,2016-05-27-22
13,89,59:25.9,Normal,-92.19,41.74,Des Moines to Chicago.kml,2016-05-27-22
19,26,59:25.9,Normal,-97.37,36.79,Wichita to Little Rock.kml,2016-05-27-22
27,105,59:25.9,Normal,-90.93,38.82,Springfield to KC Via Columbia Route 2,2016-05-27-22
25,96,59:26.2,Normal,-89.56,37.2,Memphis to Little Rock,2016-05-27-22
23,68,59:26.6,Normal,-91.32,41.71,Joplin to Kansas City Route 2,2016-05-27-22
22,87,59:26.6,Normal,-91.74,34.89, Saint Louis to Chicago Route2,2016-05-27-22
10,85,59:26.8,Normal,-91.18,38.22,Saint Louis to Tulsa,2016-05-27-22
28,39,59:26.9,Normal,-90.37,39.71,Springfield to KC Via Hanibal Route 2,2016-05-27-22
26,57,59:27.0,Normal,-91.18,38.22,Saint Louis to Tulsa Route2,2016-05-27-22
25,96,59:27.0,Normal,-89.54,36.84,Memphis to Little Rock,2016-05-27-22
23,68,59:27.4,Normal,-91.47,41.74,Joplin to Kansas City Route 2,2016-05-27-22
13,89,59:27.6,Normal,-91.59,41.7,Des Moines to Chicago.kml,2016-05-27-22
27,105,59:27.7,Normal,-91.19,38.83,Springfield to KC Via Columbia Route 2,2016-05-27-22
28,39,59:27.7,Normal,-90.52,39.71,Springfield to KC Via Hanibal Route 2,2016-05-27-22
25,96,59:27.8,Normal,-89.65,36.37,Memphis to Little Rock,2016-05-27-22
24,97,59:27.9,Normal,-87.67,41.87,Peoria to Ceder Rapids Route 2,2016-05-27-22
30,58,59:28.0,Normal,-91.59,41.7,Des Moines to Chicago Route 2,2016-05-27-22
11,74,59:28.3,Normal,-87.67,41.87,Saint Louis to Memphis Route2,2016-05-27-22
23,68,59:28.4,Normal,-91.63,41.72,Joplin to Kansas City Route 2,2016-05-27-22
13,89,59:28.5,Normal,-91.24,41.67,Des Moines to Chicago.kml,2016-05-27-22
16,12,59:28.8,Normal,-91.63,41.72,Saint Louis to Memphis,2016-05-27-22
